Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Environment,Street Tree Census (Manhattan),Environment/Street-Tree-Census-Manhattan-/e6n3-m3vc,Department of Parks and Recreation (DPR),"Manhattan street tree census inventory

Update Frequency: As Needed",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dpr, park, parks, nature, recreation, tree, census, arbor, geographic, manhattan, healthy living, #cleanweb, #education, #environment, bigapps, big apps"
City Government,Parking Violations Issued - Fiscal Year 2014 (August 2013 – June 2014),City-Government/Parking-Violations-Issued-Fiscal-Year-2014-August-/jt7v-77mi,Department of Finance (DOF),Parking Violations Issued during Fiscal Year 2014 (August 2013 – June 2014),NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"finance, dof, stars, ticket, violation, summons, parking ticket, parking violations issued - fiscal year 2014 (august 2013 – june 2014)"
Business,Filming Locations (Scenes from the City),Business/Filming-Locations-Scenes-from-the-City-/qb3k-n8mm,"Office of Film, Theatre, and Broadcasting (FILM)",List of filming locations mentioned in the book Scenes from the City,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"film, movie, scene, scenes from the city"
Transportation,Street Hail Livery Permits,Transportation/Street-Hail-Livery-Permits/yhuu-4pt3,Taxi and Limousine Commission (TLC),This is a list of NYC TLC authorized Street Hail Livery Permits. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"shl, boro taxi, green cabs, green taxi, street hail livery, drivers authorized, drivers active"
Social Services,Public Payphone Complaints,Social-Services/Public-Payphone-Complaints/iipe-cqx6,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 Requests - 10468,Social-Services/311-Requests-10468/n3qa-cbhw,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,bryantlau,http://data.cityofnewyork.us/api/users/nux4-azwn,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
,Mapped In NY Companies,dataset/Mapped-In-NY-Companies/f4yq-wry5,Mayor's Office of Media And Entertainment (MOME),Raw data which powers the Mapped In NY site at http://www.mappedinny.com/,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"jobs, tech, jobs and economic mobility"
Environment,Water Quality complaints,Environment/Water-Quality-complaints/qfe3-6dkn,311,"This is a running list of all water
quality complaint types logged in
Hansen.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"water, quality, complaints, 311"
Social Services,Customer Service Module,Social-Services/Customer-Service-Module/psqs-brte,311,"The DEP Customer Service dataset will contain information about the different types of complaints received /processed on a regular basis. The data set will include complaint information such as complaint type, location, status, or resolution code.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"customer service module, dep, environment"
Social Services,2013_311_Service_Requests,Social-Services/2013_311_Service_Requests/v8dz-92n6,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 Service Requests Summed by Created Date,Social-Services/311-Service-Requests-Summed-by-Created-Date/evab-kfr4,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,bryantlau,http://data.cityofnewyork.us/api/users/nux4-azwn,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Lower Manhattan Complaint caused by Construction,Social-Services/Lower-Manhattan-Complaint-caused-by-Construction/2cy5-9sjh,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 Service Requests Ordered by Complaint Type,Social-Services/311-Service-Requests-Ordered-by-Complaint-Type/5t7g-jyek,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,After Oct 01,Social-Services/After-Oct-01/v694-jwtp,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Clare Zimmerman,http://data.cityofnewyork.us/api/users/rqdg-xj2v,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,test descriptor,Social-Services/test-descriptor/h63u-c6ph,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Environment,Lead Kit Requests,Environment/Lead-Kit-Requests/myrj-umam,311,"This is a running list of 311 requests
for lead testing kits which are logged
in Hansen.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dep, lead, kit"
Social Services,311 SR's without locations,Social-Services/311-SR-s-without-locations/ii5g-jjzw,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Albert Webber,http://data.cityofnewyork.us/api/users/txun-eb7e,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
